annular gap,radial gap,arus,magnetic flux density outer annular zone,magnetic flux density outer radial zone,magnetic flux density inner radial zone
0.25,0.25,1,2.13E-01,8.58E-01,1.04E+00
0.25,0.5,1,2.07E-01,5.34E-01,7.51E-01
0.25,0.75,1,2.01E-01,3.58E-01,5.58E-01
0.25,1,1,1.96E-01,2.66E-01,4.58E-01
0.25,2,1,1.78E-01,1.11E-01,2.92E-01
0.5,0.25,1,2.07E-01,8.70E-01,1.03E+00
0.5,0.5,1,2.02E-01,5.42E-01,7.47E-01
0.5,0.75,1,1.96E-01,3.64E-01,5.54E-01
0.5,1,1,1.90E-01,2.72E-01,4.56E-01
0.5,2,1,1.71E-01,1.16E-01,2.90E-01
0.75,0.25,1,1.99E-01,8.84E-01,1.02E+00
0.75,0.5,1,1.94E-01,5.52E-01,7.42E-01
0.75,0.75,1,1.87E-01,3.71E-01,5.51E-01
0.75,1,1,1.81E-01,2.78E-01,4.54E-01
0.75,2,1,1.58E-01,1.21E-01,2.88E-01
1,0.25,1,1.91E-01,9.01E-01,1.02E+00
1,0.5,1,1.87E-01,5.64E-01,7.37E-01
1,0.75,1,1.80E-01,3.78E-01,5.47E-01
1,1,1,1.73E-01,2.85E-01,4.50E-01
1,2,1,1.52E-01,1.26E-01,2.86E-01
2,0.25,1,1.58E-01,9.73E-01,9.73E-01
2,0.5,1,1.49E-01,6.22E-01,7.05E-01
2,0.75,1,1.47E-01,4.14E-01,5.28E-01
2,1,1,1.37E-01,3.15E-01,4.37E-01
2,2,1,1.23E-01,1.42E-01,2.79E-01
0.25,0.25,0.7,2.09E-01,6.79E-01,8.87E-01
0.25,0.5,0.7,1.98E-01,3.65E-01,5.73E-01
0.25,0.75,0.7,1.92E-01,2.40E-01,4.36E-01
0.25,1,0.7,1.85E-01,1.73E-01,3.61E-01
0.25,2,0.7,1.63E-01,5.91E-02,2.27E-01
0.5,0.25,0.7,2.00E-01,6.95E-01,8.83E-01
0.5,0.5,0.7,1.93E-01,3.75E-01,5.68E-01
0.5,0.75,0.7,1.82E-01,2.50E-01,4.32E-01
0.5,1,0.7,1.77E-01,1.81E-01,3.57E-01
0.5,2,0.7,1.53E-01,6.54E-02,2.24E-01
0.75,0.25,0.7,1.89E-01,7.20E-01,8.79E-01
0.75,0.5,0.7,1.79E-01,3.86E-01,5.63E-01
0.75,0.75,0.7,1.70E-01,2.59E-01,4.28E-01
0.75,1,0.7,1.63E-01,1.89E-01,3.54E-01
0.75,2,0.7,1.37E-01,7.33E-02,2.21E-01
1,0.25,0.7,1.78E-01,7.44E-01,8.74E-01
1,0.5,0.7,1.68E-01,3.97E-01,5.57E-01
1,0.75,0.7,1.57E-01,2.67E-01,4.24E-01
1,1,0.7,1.52E-01,1.97E-01,3.51E-01
1,2,0.7,1.24E-01,7.81E-02,2.18E-01
2,0.25,0.7,1.40E-01,8.44E-01,8.41E-01
2,0.5,0.7,1.30E-01,4.45E-01,5.32E-01
2,0.75,0.7,1.20E-01,3.05E-01,4.07E-01
2,1,0.7,1.10E-01,2.29E-01,3.37E-01
2,2,0.7,9.08E-02,9.74E-02,2.07E-01
0.25,0.25,0.5,2.04E-01,5.11E-01,7.32E-01
0.25,0.5,0.5,1.92E-01,2.56E-01,4.51E-01
0.25,0.75,0.5,1.85E-01,1.60E-01,3.46E-01
0.25,1,0.5,1.78E-01,1.08E-01,2.87E-01
0.25,2,0.5,1.40E-01,3.32E-02,1.74E-01
0.5,0.25,0.5,1.89E-01,5.26E-01,7.24E-01
0.5,0.5,0.5,1.76E-01,2.68E-01,4.46E-01
0.5,0.75,0.5,1.67E-01,1.72E-01,3.42E-01
0.5,1,0.5,1.59E-01,1.20E-01,2.82E-01
0.5,2,0.5,1.20E-01,4.36E-02,1.69E-01
0.75,0.25,0.5,1.74E-01,5.43E-01,7.15E-01
0.75,0.5,0.5,1.60E-01,2.81E-01,4.41E-01
0.75,0.75,0.5,1.49E-01,1.85E-01,3.37E-01
0.75,1,0.5,1.40E-01,1.32E-01,2.77E-01
0.75,2,0.5,1.06E-01,5.19E-02,1.65E-01
1,0.25,0.5,1.60E-01,5.62E-01,7.05E-01
1,0.5,0.5,1.44E-01,2.95E-01,4.35E-01
1,0.75,0.5,1.32E-01,1.98E-01,3.32E-01
1,1,0.5,1.24E-01,1.44E-01,2.73E-01
1,2,0.5,9.52E-02,5.82E-02,1.62E-01
2,0.25,0.5,1.14E-01,6.57E-01,6.57E-01
2,0.5,0.5,9.98E-02,3.49E-01,4.10E-01
2,0.75,0.5,9.13E-02,2.39E-01,3.15E-01
2,1,0.5,8.41E-02,1.77E-01,2.59E-01
2,2,0.5,6.73E-02,7.44E-02,1.54E-01
0.25,0.25,0.2,1.43E-01,2.07E-01,3.68E-01
0.25,0.5,0.2,1.16E-01,9.40E-02,2.29E-01
0.25,0.75,0.2,1.02E-01,5.65E-02,1.69E-01
0.25,1,0.2,8.74E-02,3.70E-02,1.34E-01
0.25,2,0.2,5.70E-02,1.28E-02,7.36E-02
0.5,0.25,0.2,1.09E-01,2.39E-01,3.56E-01
0.5,0.5,0.2,9.23E-02,1.17E-01,2.21E-01
0.5,0.75,0.2,8.12E-02,7.18E-02,1.62E-01
0.5,1,0.2,7.35E-02,4.89E-02,1.28E-01
0.5,2,0.2,5.09E-02,1.77E-02,7.14E-02
0.75,0.25,0.2,8.80E-02,2.62E-01,3.47E-01
0.75,0.5,0.2,7.80E-02,1.33E-01,2.15E-01
0.75,0.75,0.2,7.01E-02,8.23E-02,1.57E-01
0.75,1,0.2,6.19E-02,5.66E-02,1.25E-01
0.75,2,0.2,4.47E-02,2.10E-02,6.96E-02
1,0.25,0.2,7.46E-02,2.78E-01,3.40E-01
1,0.5,0.2,6.68E-02,1.43E-01,2.10E-01
1,0.75,0.2,5.86E-02,9.00E-02,1.54E-01
1,1,0.2,5.50E-02,6.28E-02,1.22E-01
1,2,0.2,4.02E-02,2.38E-02,6.81E-02
2,0.25,0.2,4.93E-02,3.29E-01,3.16E-01
2,0.5,0.2,4.35E-02,1.74E-01,1.96E-01
2,0.75,0.2,3.97E-02,1.11E-01,1.44E-01
2,1,0.2,3.63E-02,7.89E-02,1.14E-01
